ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
2031,Stronger and Strongest,Formula Tales,Cumulative Tales,active,"""The Stonecutter"" (Japanese); ""The Mouse Who Wanted to Marry"" (Panchatantra, Sanskrit, literary antecedent, c. 300 CE); ""The Rat's Bridegroom"" (widespread Asian); Jean de La Fontaine ""Le Rat et la Grenouille"" analogues",Claude (model knowledge),Chain of 'who is stronger than X?' leading back to the starting creature; classic philosophical paradox cumulative.
2032,The Cock's Whiskers,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2033,A Nut Hits the Cock's Head,Formula Tales,Cumulative Tales,active,"""Chicken Little"" / ""Henny Penny"" (English, Jacobs); ""The Sky Is Falling"" tradition",Claude (model knowledge),Classic alarmist-chain tale ending in fox-trick.
2034,The Mouse Regains Its Tail,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2035,The House Is Burning,Formula Tales,Cumulative Tales,active,"""This Is the House That Jack Built"" (English, first printed 1755 in ""Nurse Truelove's New-Year's Gift"")",Claude (model knowledge),
2036,,Formula Tales,Cumulative Tales,unassigned,,,
2037,,Formula Tales,Cumulative Tales,unassigned,,,
2038,,Formula Tales,Cumulative Tales,unassigned,,,
2039,,Formula Tales,Cumulative Tales,unassigned,,,
2040-2074,,Formula Tales,Cumulative Tales,unassigned,,,
2075,Tales in Which Animals Talk,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2076-2099,,Formula Tales,Cumulative Tales,unassigned,,,End of Cumulative Tales subsection.
2100-2199,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,Empty range between Cumulative Tales and the main Catch Tales numbering.
2200,Catch-Tale,Formula Tales,Other Formula Tales / Catch Tales,active,Parent type for catch-tales (tales with joke/trick ending that invites hearer's response),Claude (model knowledge),
2201,Catch-Tale about an Animal,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2202,Teller is Killed in His Own Story,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2203,The Tailor's Last Message,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2204,The Rat-Catcher,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2205,The Fearless Knight,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2206-2249,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2250,Unfinished Tales (Endless Tale),Formula Tales,Other Formula Tales / Catch Tales,active,"""The Endless Tale"" tradition; ""The Story of the Man Who Lived a Hundred Years"" (1001 Nights framing overlap)",Claude (model knowledge),"Parent type for endless tales; story never resolves, frustrating the listener as its point."
2251,The Tale About the Unfinished Bridge,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2252,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2253-2299,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2300,Endless Tales (Proper),Formula Tales,Other Formula Tales / Catch Tales,active,"""The Endless Tale"" tradition worldwide; characteristic of oral traditions meant to deliberately frustrate listeners demanding 'just one more story'",Claude (model knowledge),
2301,The Thousand and One Sheep (Ram Crossing Stream),Formula Tales,Other Formula Tales / Catch Tales,active,1001 Nights framing story (the sheep-crossing-a-stream as stalling-tale); Sindibad-tradition stalling-tales,Claude (model knowledge),Endless tale: narrator describes sheep crossing stream one by one; tale cannot continue until all sheep cross.
2302,Moving the Grains of Salt (Corn) One by One,Formula Tales,Other Formula Tales / Catch Tales,active,—,Claude (model knowledge),
2303,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2304,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2305,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2306-2319,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2320,Rounds (Round Songs and Tales with Circular Structure),Formula Tales,Other Formula Tales / Catch Tales,active,"""The Bear Went Over the Mountain"" structural parallel; ""It was a dark and stormy night"" recursive-tale tradition",Claude (model knowledge),
2321,Tale That Returns Endlessly to Its Beginning,Formula Tales,Other Formula Tales / Catch Tales,active,"""It was a dark and stormy night"" frame-tale (widely cited as emblematic recursive story); 1001 Nights framing structure",Claude (model knowledge),
2322,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2323-2334,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2335,Tales Filled with Contradictions,Formula Tales,Other Formula Tales / Catch Tales,active,"""The Tale of Sir Thopas"" (Chaucer, Canterbury Tales, literary descendant uses contradictory / deliberately bad storytelling as comedy)",Claude (model knowledge),
2336-2349,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,
2350-2399,,Formula Tales,Other Formula Tales / Catch Tales,unassigned,,,End of Other Formula Tales / Catch Tales subsection. End of Formula Tales category. End of ATU index (2004).
1920A,The Sea Burns,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1920B,"The One Says: """"I Have Not Time to Lie""""",Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
2031A,The Mouse Seeks a Bride,Formula Tales,Cumulative Tales,active,"""The Mouse's Wedding"" / ""Nezumi no yomeiri"" (Japanese); Panchatantra antecedent",Claude (model knowledge),
1911A,How the Lost Horse Was Found,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889D,Lying Hunting Tale,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889E,Pulling Oneself Out of the Bog by One's Own Hair,Anecdotes and Jokes,Tall Tales,active,"""Münchhausen"" pulling-self-from-swamp-by-bootstraps episode (Raspe) — origin of the English idiom 'bootstrap'",Claude (model knowledge),
1889F,Frozen Words (Music) Thaw,Anecdotes and Jokes,Tall Tales,active,"""Münchhausen"" frozen-trumpet-call-thaws-in-spring (Raspe); Plutarch antecedent; Rabelais 'frozen words at sea' (Quart Livre, ch. 55-56, literary)",Claude (model knowledge),
1889G,Man Swallowed by Fish,Anecdotes and Jokes,Tall Tales,active,"Jonah biblical antecedent; ""Münchhausen"" whale episode (Raspe); Pinocchio (Collodi, literary)",Claude (model knowledge),
1889H,Submarine Otherworld,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889K,The Hunter Catches Animals by Singular Means,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889L,The Lie: Lightning Travels Slowly,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889M,Snakebite Causes Object to Swell,Anecdotes and Jokes,Tall Tales,active,American tall-tale tradition; Paul Bunyan and Pecos Bill cycles (literary),Claude (model knowledge),
1911B,Tail Pulls Off,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1889N,The Long Hunting Trip,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890A,Shot Splits Tree-Limb and Catches Bird's Feet,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890B,Wild Boars Caught in Cleft Tree,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890C,Gun-Barrel Bent to Make Spectacular Shot,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890D,Ramrod Shot Plus Series of Lucky Accidents,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890E,Gun Misfires; Hunter Carves Bullets from His Knife,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1890F,Shot in the Right Eye but Where the Tail Was Pointing,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
2A,Torn-off Tails,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Knotter of Tails (Arab tradition); Tailless Fox tales,https://libraryguides.missouri.edu/c.php?g=1083510,Subsumes former AT 64 'Fox without a Tail / Tailless Fox Tries in Vain to Get Foxes to Cut off Tails' per Uther 2004.
1896A,The Frog That Burst,Anecdotes and Jokes,Tall Tales,active,"Aesop, ""The Frog and the Ox"" (Perry Index 376)",Claude (model knowledge),
1889P,Hunter's Lie: Game Speaks,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1920C,The Master and the Peasant: Truth and Falsehood,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
68A,The Jug as Trap,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif J2131.5.7. Fox trying to drown jug.
1920E,Lying Contest: Magic Bird,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
327G,The Boy at the Witch's (Ogre's) House,Tales of Magic,Supernatural Adversaries,active,—,Manchester Hive tale-type index; Missouri Libraries,
327F,The Witch and the Fisher Boy,Tales of Magic,Supernatural Adversaries,active,—,Wikipedia: Hansel and Gretel; Missouri Libraries Folk Tales Online,
1962A,The Great Flood,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
327E,,Tales of Magic,Supernatural Adversaries,uncertain,,,Some sources list subtype E; not consistently documented in open sources.
327D,The Kiddlekaddlekar,Tales of Magic,Supernatural Adversaries,active,European oral tradition variants involving magic cart and ogre's self-hanging,Wikipedia: Hansel and Gretel; Wikiwand: Hansel and Gretel,
327C,The Devil (Witch) Carries the Hero Home in a Sack,Tales of Magic,Supernatural Adversaries,active,Russian variants (Baba Yaga carries boy in sack); various Slavic tales,Wikipedia: Hansel and Gretel; Wikiwand: Hansel and Gretel; Ashliman type 327C,
327B,The Brothers and the Ogre (Thumbling / Le Petit Poucet),Tales of Magic,Supernatural Adversaries,active,"""Le Petit Poucet"" / ""Hop-o'-My-Thumb"" (Perrault); ""Molly Whuppie"" (Jacobs, English); ""Maol a Chliobain"" (Campbell, Scottish); ""Esben and the Witch"" (Danish, Lang Pink Fairy Book); ""Mutsmag"" (Appalachian); ""Big Peter and Little Peter"" (Norwegian)",Wikipedia: Hop-o'-My-Thumb; Wikipedia: Molly Whuppie; SurLaLune; Ashliman type 327B,
178A,The Brahmin and the Mongoose,Animal Tales,Wild Animals and Humans,active,The Brahmin and the Mongoose (Panchatantra); Llewellyn and Gelert (Welsh),https://sites.pitt.edu/~dash/type0178a.html,Faithful animal kills snake to save baby; owner kills animal by mistake thinking it hurt the child.
178B,The Faithful Dog as the Rescuer,Animal Tales,Wild Animals and Humans,active,Old Sultan (Grimm KHM 48 partial),https://sites.pitt.edu/~dash/type0178a.html,Overlaps with 101; dog stage-manages a rescue to win human favor.
327A,Hansel and Gretel,Tales of Magic,Supernatural Adversaries,active,"""Hänsel und Gretel"" / ""Hansel and Gretel"" (Grimm KHM 15); ""Nennillo and Nennella"" (Basile, Pentamerone V.8); ""Finette Cendron"" (d'Aulnoy, partial); ""The Lost Children"" (Sébillot)",Wikipedia: Hansel and Gretel; SurLaLune; Ashliman type 327A,
511A,The Little Red Ox,Tales of Magic,Supernatural Helpers,active,"English and Scottish variants; ""The Little Red Bull"" (Jacobs, More English Fairy Tales)",Claude (model knowledge),
326B*,The Youth and the Corpse,Tales of Magic,Supernatural Adversaries,active,"Icelandic ""Sagan af Hildi góðu stjúpu"" family; Norse grave-watch tales",Manchester Hive tale-type index,
326A*,Soul Released from Torment,Tales of Magic,Supernatural Adversaries,active,—,Manchester Hive tale-type index,
510B,"The Dress of Gold, of Silver, and of Stars (Cap o' Rushes)",Tales of Magic,Supernatural Helpers,active,"""Allerleirauh"" / ""All-Kinds-of-Fur"" (Grimm KHM 65); ""Peau d'Âne"" / ""Donkeyskin"" (Perrault, 1694); ""Cap o' Rushes"" (English, Jacobs); ""The She-Bear"" / ""L'orsa"" (Basile, Pentamerone II.6); ""Catskin"" (English)",Claude (model knowledge),The unnatural-love variant of 510; heroine flees incestuous father.
510A,Cinderella,Tales of Magic,Supernatural Helpers,active,"""Cendrillon"" (Perrault, 1697); ""Aschenputtel"" / ""Cinderella"" (Grimm KHM 21); ""La Gatta Cenerentola"" / ""The Cat Cinderella"" (Basile, Pentamerone I.6); ""Ye Xian"" (Tang Dynasty Chinese, Duan Chengshi, c. 860 CE); ""Rhodopis"" (Greco-Egyptian, Strabo and Aelian); ""Katie Woodencloak"" (Asbjørnsen & Moe); ""Finette Cendron"" (d'Aulnoy)",Claude (model knowledge),"Among the most widely distributed tale types globally; over 1,500 variants catalogued."
480D*,The Kind Girl and the Frogs,Tales of Magic,Supernatural Tasks,active,—,Claude (model knowledge),
480C*,The Small Red Ox,Tales of Magic,Supernatural Tasks,active,Scandinavian and Finnish variants,Claude (model knowledge),
313B,"The Girl Helps the Hero Flee (""Nothing-in-the-World"" opening)",Tales of Magic,Supernatural Adversaries,active,"East Slavic, Serbo-Croatian, Czech, Lithuanian, Estonian, Finnish, Flemish, French, Scottish, Irish variants; Afanasyev nos. 219-226 (partial)",Wikipedia: The Sea Tsar and Vasilisa the Wise,
313C,"The Magic Flight with ""Forgotten Fiancée"" Ending",Tales of Magic,Supernatural Adversaries,active,"""The Sea Tsar and Vasilisa the Wise"" (Afanasyev); ""Sweetheart Roland"" / ""Der Liebste Roland"" (Grimm KHM 56); ""The True Bride"" (Grimm KHM 186 partial)",Wikipedia: The Sea Tsar and Vasilisa the Wise; Wikipedia: The Master Maid,
460B,The Journey in Search of Fortune,Tales of Magic,Supernatural Tasks,active,"""The Three Hairs from the Devil's Grandmother"" variants; ""What is the Fastest Thing in the World?"" tales",Claude (model knowledge),
461A,The Pilgrimage to the Lord of the Winds,Tales of Magic,Supernatural Tasks,active,—,Claude (model knowledge),
315A,The Cannibal Sister,Tales of Magic,Supernatural Adversaries,active,—,Manchester Hive tale-type index,
465A,The Quest for the Unknown,Tales of Magic,Supernatural Tasks,active,"Russian variants of ""Go I Know Not Whither""",Claude (model knowledge),
513A,Six Go Through the Whole World,Tales of Magic,Supernatural Helpers,active,"""Sechse kommen durch die ganze Welt"" / ""How Six Made Their Way in the World"" (Grimm KHM 71); ""Long, Broad and Sharpsight"" (Czech)",Claude (model knowledge),
470A,The Offended Skull (Statue),Tales of Magic,Supernatural Tasks,active,Don Juan / stone-guest tradition; medieval skull-legend variants,Claude (model knowledge),"Literary descendant: Tirso de Molina's ""El burlador de Sevilla"" (1630) and Mozart's Don Giovanni (1787)."
1960K,The Great Bread,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1960M,The Great Insect,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1960Z,Other Lies About Great Objects,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
470B,The Country Where No One Dies,Tales of Magic,Supernatural Tasks,active,"Italian and Balkan ""Land of the Deathless"" variants",Claude (model knowledge),
471A,The Monk and the Bird,Tales of Magic,Supernatural Tasks,active,Medieval Christian legend of the monk Felix/Herlaus listening to a heavenly bird for what seems a moment but is 100-300 years,Claude (model knowledge),
480A*,The Kind and the Unkind Girls (parallel variant),Tales of Magic,Supernatural Tasks,active,—,Claude (model knowledge),
1960J,The Great Bird,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
328A,Jack and the Beanstalk,Tales of Magic,Supernatural Adversaries,active,"""Jack and the Beanstalk"" (Joseph Jacobs, English Fairy Tales); ""The History of Jack and the Bean-Stalk"" (Tabart 1807)",Wikipedia: Jack and the Beanstalk; Missouri Libraries; Ashliman type 328A,
328A*,"Three Brothers Steal Back Sun, Moon, and Stars",Tales of Magic,Supernatural Adversaries,active,Balkan and Slavic variants (dragon/serpent steals luminaries),TV Tropes ATU reference; Manchester Hive,
513B,The Land and Water Ship,Tales of Magic,Supernatural Helpers,active,"""The Fool of the World and the Flying Ship"" (Russian, Afanasyev, Lang Yellow Fairy Book)",Claude (model knowledge),
2022B,,Formula Tales,Cumulative Tales,unassigned,,,
650B,The Strong Man Cannot Be Killed,Tales of Magic,Supernatural Power or Knowledge,active,—,Claude (model knowledge),
652A,The Magic Rifle,Tales of Magic,Supernatural Power or Knowledge,active,—,Claude (model knowledge),
653A,The Rarest Thing in the World,Tales of Magic,Supernatural Power or Knowledge,active,—,Claude (model knowledge),
655A,The Strayed Camel and the Clever Deductions,Tales of Magic,Supernatural Power or Knowledge,active,"Origin tale of the ""Three Princes of Serendip"" (Italian, Armeno 1557, origin of the word 'serendipity'); related to Voltaire's Zadig (literary descendant)",Claude (model knowledge),
700A,Daumesdick,Tales of Magic,Other Tales of the Supernatural,uncertain,—,Claude (model knowledge),Possible subtype; low confidence.
2022A,The Death of the Little Hen,Formula Tales,Cumulative Tales,active,"""Von dem Tod des Hühnchens"" (Grimm KHM 80)",Claude (model knowledge),
2029A,,Formula Tales,Cumulative Tales,unassigned,,,
2030B,The Fox Wants His Tail,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2034C,Lending and Repaying: Progressively Worse,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2030C,The Sparrow Wants His Tooth Back,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2034B,The Sky is Falling,Formula Tales,Cumulative Tales,active,"""Chicken Little"" / ""Henny Penny"" (Jacobs, English Fairy Tales)",Claude (model knowledge),Overlap with 2033.
2034A,What the Cow Said to the Calf,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2031C,The Louse Seeks a Wife,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
2030A,The Hen is Crushing Nuts,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
214B,The Donkey in the Lion's Skin,Animal Tales,Domestic Animals,active,,https://www.artandpopularculture.com/Aarne-Thompson,Specific subtype of 214.
2021A,Hen Dies for Grief; Mourners Die in Succession,Formula Tales,Cumulative Tales,active,"""The Cat and the Mouse in Partnership"" partial overlap (Grimm KHM 2, different type)",Claude (model knowledge),
2010II,Had Gadya (One Kid),Formula Tales,Cumulative Tales,active,"""Had Gadya"" / ""Chad Gadya"" (Passover Haggadah, Aramaic cumulative song, 16th c.); ""The Old Woman and Her Pig"" (English, Jacobs) structural parallel; ""The House That Jack Built"" (English nursery tradition, 1755) structural parallel",Claude (model knowledge),One of the most widely circulated cumulative tale structures in folk tradition.
516A,The Sign Language of the Princess,Tales of Magic,Supernatural Helpers,active,—,Claude (model knowledge),
516B,The Abducted Princess (Love Through Sight of a Floating Hair),Tales of Magic,Supernatural Helpers,active,1001 Nights variants,Claude (model knowledge),
1962B,The Great Wind,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
516C,St. James of Galicia,Tales of Magic,Supernatural Helpers,active,Iberian pilgrimage legend,Claude (model knowledge),
530A,The Pigs of the Sea King,Tales of Magic,Supernatural Helpers,active,—,Claude (model knowledge),
545A,The Cat Castle,Tales of Magic,Supernatural Helpers,active,—,Claude (model knowledge),
2018A,,Formula Tales,Cumulative Tales,unassigned,,,
545B,Puss in Boots,Tales of Magic,Supernatural Helpers,active,"""Le Maître chat, ou le Chat botté"" / ""The Master Cat, or Puss in Boots"" (Perrault, 1697); ""Costantino Fortunato"" (Straparola, Piacevoli Notti XI.1, 1550s — earliest literary version); ""Gagliuso"" (Basile, Pentamerone II.4)",Claude (model knowledge),
567A,The Magic Bird-Heart and the Separated Brothers,Tales of Magic,Magic Objects,active,—,Claude (model knowledge),
571A,The Tail of the Princess Fastened to the Bride (Sticky Goose),Tales of Magic,Magic Objects,active,Variants of the Golden Goose ending,Claude (model knowledge),
571B,Himself Did It,Tales of Magic,Magic Objects,active,—,Claude (model knowledge),
571C,The Biter Bit,Tales of Magic,Magic Objects,uncertain,—,Claude (model knowledge),Title/scope in Uther 2004 not fully verified.
650A,Strong John,Tales of Magic,Supernatural Power or Knowledge,active,"""Der starke Hans"" / ""Strong Hans"" (Grimm KHM 166); ""Jean l'Ours"" partial overlap with 301 (Bear's Son); European strongman tales",Claude (model knowledge),
2010I,Kaddish Variant,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
552A,The Three Animals as Brothers-in-Law,Tales of Magic,Supernatural Helpers,active,—,Claude (model knowledge),
1920D,The Liar Asks for the Use of Tools,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
313A,The Girl Helps the Hero Flee,Tales of Magic,Supernatural Adversaries,active,"""Jason and Medea"" (classical analogue); East Slavic variants with father-caught-by-beard opening",Wikipedia: The Sea Tsar and Vasilisa the Wise; Gold Scales,
312D,Rescue by the Brother,Tales of Magic,Supernatural Adversaries,active,"German ballad-related variants (e.g., ""Ulinger"" / Child ballad 4 family)",Liquisearch (Bluebeard Aarne-Thompson); Gold Scales,
1960D,The Great Vegetable,Anecdotes and Jokes,Tall Tales,active,"American county-fair tall-tale tradition (giant pumpkins, gourds, etc.)",Claude (model knowledge),
113A,Pan Is Dead (King of the Cats),Animal Tales,Wild Animals and Domestic Animals,active,"The King o' the Cats (Joseph Jacobs, English); Irish variants; Manyo is Dead (Hungarian)",https://libraryguides.missouri.edu/c.php?g=1083510; https://sites.pitt.edu/~dash/type6070b.html,Motif B342. Related to migratory legend type ATU 6070B.
111A*,Drunkard's Promise,Animal Tales,Wild Animals and Domestic Animals,active,Dutch Courage (British); Mouse in the Ale-Cask,https://libraryguides.missouri.edu/c.php?g=1083510,—
111A,Wolf Unjustly Accuses Lamb and Eats Him,Animal Tales,Wild Animals and Domestic Animals,active,"The Wolf and the Lamb (Aesop, Perry 155)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif U31. Often associated with the proverb 'Tyrants need no excuse'.
103A*,Cat Claims to Be King and Receives Food from Other Animals,Animal Tales,Wild Animals and Domestic Animals,active,Cecus-Becus Berneusz (Hungarian),https://libraryguides.missouri.edu/c.php?g=1083510,—
1960C,The Great Catch of Fish,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1960B,The Great Fish,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
275A,The Race of the Fox and the Snail,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Snail sticks to fox's tail crosses line first.
103A,Cat as She-Fox's Husband,Animal Tales,Wild Animals and Domestic Animals,active,'The Cat and the Fox Get Married' (AT 103A variants),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif B281.9.1.
78A,Tied Up Because of a Storm,Animal Tales,Wild Animals: Other Wild Animals,active,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K713.1.1. Animal tied up so as not to be carried off by storm.
2031B,Mouse Regains His Tail,Formula Tales,Cumulative Tales,active,—,Claude (model knowledge),
1960A,The Great Ox,Anecdotes and Jokes,Tall Tales,active,Paul Bunyan's Babe the Blue Ox tradition (American literary),Claude (model knowledge),
66B,Sham-Dead Animal Betrays Self,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K607.3. Sham-dead trickster deceived into making revealing gesture.
66A,Hello House! (The Cave Call),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Mr. Rabbit and Mr. Bear (Joel Chandler Harris, African-American Brer Rabbit cycle)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K607.1. Trickster calls out to supposed empty house; predator inside answers and reveals self.
61B,"Cat, Rooster, and Fox Live Together",Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Cat, Cock, and Fox (Afanasyev, Russian)",https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K815.15. Cat lures young foxes from den with music.
61A,The Fox as Confessor,Animal Tales,Wild Animals: The Clever Fox (Other Animal),merged,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Reclassified by Uther 2004 as ATU 20D* 'Pilgrimage of the Animals'. Motif K2027.
56B,Fox as Schoolmaster,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Various jackal/fox-as-teacher tales,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Motif K1822.2.  Renumbered from former AT 56C 'Jackal as Schoolmaster' in Uther 2004.
1920F,"He Who Says """"That's a Lie"""" Must Pay a Fine",Anecdotes and Jokes,Tall Tales,active,"""Princess Who Cannot Solve the Riddle"" overlap (851)",Claude (model knowledge),
1920G,"Friend, You're Not Telling the Truth",Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
1920H,Will Bend (Burst) with Lying,Anecdotes and Jokes,Tall Tales,active,—,Claude (model knowledge),
2B,Basket Tied to Wolf's Tail,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Fox and the Wolf Go a-Fishing (Greek, Megas)", https://libraryguides.missouri.edu/c.php?g=1083510,Variant in which a basket replaces the frozen tail.
20A,Animals Eat One Another Up,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Six Hungry Beasts (Finnish, Andrew Lang Crimson Fairy Book); Lion in the Well (African-American); Beasts in a Pit (Afanasyev)", https://libraryguides.missouri.edu/c.php?g=1083510,Animals trapped together devour each other in turn.
20B,Man Is Caught in His Own Trap,Animal Tales,Wild Animals: The Clever Fox (Other Animal),retired,Six Hungry Beasts (Finnish),https://libraryguides.missouri.edu/c.php?g=1083510,Existed in older AT system; explicitly marked 'no ATU' in Missouri guide.  Dropped/merged in Uther 2004.
113B,Cat as Sham Holy Man,Animal Tales,Wild Animals and Domestic Animals,active,The Hypocritical Cat (Tibet); The Cat as Holy Man (Palestine); Cat Who Went to Mecca (Arab),https://libraryguides.missouri.edu/c.php?g=1083510; https://sites.pitt.edu/~dash/cat.html,Motif K815.13.
20C,The Animals Flee in Fear of the End of the World (Chicken Little),Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Cock and Hen That Went to Dovrefjell (Asbjørnsen & Moe);  Henny-Penny (England/Scotland);  Brother Rabbit Takes Some Exercise (Joel Chandler Harris);  The Hares and the Frogs (Aesop, Croxall and Bewick);  The Timid Hare (Jataka)", https://sites.pitt.edu/~dash/type2033.html; https://libraryguides.missouri.edu/c.php?g=1083510,Formerly AT 2033;  relocated by Uther 2004 into the Animal Tales section as 20C. 
47A,The Fox Hangs by His Teeth onto the Horse's Tail,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,The Fox and the Horse (Grimm KHM 132);  Reynard Wants to Taste Horseflesh (Norwegian); Fox and Wolf (Netherlands); Brother Fox Catches Mr. Horse (Joel Chandler Harris); The Fox and the Wolf (Chickasaw), https://sites.pitt.edu/~dash/type0047a.html; https://libraryguides.missouri.edu/c.php?g=1083510,Also titled 'Catching a Horse by Its Tail'. 
47B,Horse Kicks the Wolf to Death,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"Wolf, Fox, and Ass (Greek, Megas)", https://libraryguides.missouri.edu/c.php?g=1083510,Subsumed former AT 122J per Uther 2004. 
47E,"The Fox, the Wolf, and the Horse",Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,"The Fox, the Wolf, and the Horse (La Fontaine); Two Foxes and a Horse (Scotland); The Wolf and the Tailor (Russian); The Vixen and the Mule (Italian)", https://sites.pitt.edu/~dash/type0047e.html,—
285A,The Serpent and the Child,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Specific subtype of 285.
49A,The Wasp Nest as the King's Drum,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Rabbit and the Coyote (Mexican),https://libraryguides.missouri.edu/c.php?g=1083510,—
56A,Fox Threatens to Cut Down the Tree,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Magpie and the Fox (Irish variants); Lame Magpie (Tibetan),https://www.duchas.ie/en/aath; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Crow gives advice to magpies; fox plays dead and catches crow. 
20D*,Pilgrimage of the Animals,Animal Tales,Wild Animals: The Clever Fox (Other Animal),active,Nun Vixen (Greek), https://libraryguides.missouri.edu/c.php?g=1083510,Uther 2004 reclassified former AT 61A 'The Fox as Confessor' into this asterisked subtype.
